	score
9606.ENSP00000344818	0.004654604009443987
9606.ENSP00000339720	0.003924762668400465
9606.ENSP00000263774	0.00391892828116359
9606.ENSP00000369176	0.003913030818880419
9606.ENSP00000362873	0.003911449755420512
9606.ENSP00000362058	0.0039107591613622966
9606.ENSP00000389160	0.0039102763989422
9606.ENSP00000299166	0.00390706687369967
9606.ENSP00000266544	0.0039009879815102575
9606.ENSP00000281031	0.0038974382526838587
9606.ENSP00000184266	0.0038968867248183117
9606.ENSP00000233627	0.0038965452082485074
9606.ENSP00000423673	0.003893267700857651
9606.ENSP00000268668	0.0038904176231692256
9606.ENSP00000330737	0.003885382332955785
9606.ENSP00000392709	0.0038789532446340267
9606.ENSP00000356972	0.0037960179604278896
9606.ENSP00000276689	0.003791424728591849
9606.ENSP00000322450	0.0037891770066438213
9606.ENSP00000330787	0.003789062801383026
9606.ENSP00000354813	0.003788678314435111
9606.ENSP00000354728	0.0037886598136067364
9606.ENSP00000355206	0.003788653547347035
9606.ENSP00000354961	0.003788649840268681
9606.ENSP00000347988	0.0037885638875861513
9606.ENSP00000247866	0.003785545107192689
9606.ENSP00000265500	0.003785481720801018
9606.ENSP00000237889	0.0037854633301682575
9606.ENSP00000007516	0.0037850905990766716
9606.ENSP00000327268	0.0037790265833425206
9606.ENSP00000252711	0.0037769022168173396
9606.ENSP00000354687	0.0037698166788853425
9606.ENSP00000296684	0.0037693668961255892
9606.ENSP00000355046	0.0037691494456285014
9606.ENSP00000215565	0.0037685455440601926
9606.ENSP00000259037	0.0037676481432905203
9606.ENSP00000315774	0.0037638206787248838
9606.ENSP00000346196	0.003763240804799818
9606.ENSP00000252102	0.003757824713893419
9606.ENSP00000276062	0.003749697777829234
9606.ENSP00000274137	0.0037355012325036305
9606.ENSP00000354665	0.0037261342221198554
9606.ENSP00000360492	0.0037064609187886276
9606.ENSP00000418842	0.0033766165636324877
9606.ENSP00000301457	0.0033755755724578724
9606.ENSP00000260361	0.003370473344553036
9606.ENSP00000300105	0.002817293533982846
9606.ENSP00000270458	0.0027555468143613967
9606.ENSP00000266376	0.0027503986060348016
9606.ENSP00000005284	0.0027478867919665546
9606.ENSP00000288139	0.002720741161336099
9606.ENSP00000222212	0.0026990701176939328
9606.ENSP00000355192	0.002674908898241806
9606.ENSP00000377840	0.00266500892499809
9606.ENSP00000438949	0.00266151780907957
9606.ENSP00000372169	0.002637515720609931
9606.ENSP00000349320	0.002627919532027877
9606.ENSP00000320025	0.0026161020116075412
9606.ENSP00000301050	0.0026059634584566765
9606.ENSP00000226021	0.0024931221487218273
9606.ENSP00000252729	0.0024734489344726864
9606.ENSP00000354554	0.002458431319122229
9606.ENSP00000309565	0.0024395361531608785
9606.ENSP00000332887	0.0024390637158805514
9606.ENSP00000287022	0.0024143819391174667
9606.ENSP00000367934	0.0024055101760775224
9606.ENSP00000306397	0.0023993186871272922
9606.ENSP00000268379	0.00239360904328319
9606.ENSP00000317159	0.0023885135832271017
9606.ENSP00000262138	0.0023802698932487293
9606.ENSP00000203407	0.0023788937087580427
9606.ENSP00000328968	0.002357629641932934
9606.ENSP00000418081	0.002332538417147428
9606.ENSP00000419101	0.002310688630484691
9606.ENSP00000303092	0.0023101107882429095
9606.ENSP00000360608	0.002308734833735943
9606.ENSP00000332549	0.002238171149319011
9606.ENSP00000285900	0.0021112179568171796
9606.ENSP00000264426	0.0020633906069688537
9606.ENSP00000334198	0.002026480521880929
9606.ENSP00000386796	0.002006890450268056
9606.ENSP00000352011	0.0020011976221786685
9606.ENSP00000307786	0.0019733119996448037
9606.ENSP00000360406	0.0019612514982183414
9606.ENSP00000293190	0.0019505772816520472
9606.ENSP00000282499	0.0019420061625807087
9606.ENSP00000323076	0.0019403769457159105
9606.ENSP00000356545	0.0019198463528329187
9606.ENSP00000261707	0.0019173194328506087
9606.ENSP00000456832	0.0019129115099452575
9606.ENSP00000355155	0.001906340939115153
9606.ENSP00000263269	0.0018952432682030078
9606.ENSP00000354859	0.0018949735462280592
9606.ENSP00000264357	0.0018645641620277042
9606.ENSP00000346534	0.0018271684715840076
9606.ENSP00000390600	0.0018063571564481055
9606.ENSP00000234389	0.0018000228921719946
9606.ENSP00000283256	0.001796325636269034
9606.ENSP00000394624	0.0017893973743242514
9606.ENSP00000385019	0.001788827215555624
9606.ENSP00000365441	0.0017780878929556348
9606.ENSP00000248437	0.001757761796396274
9606.ENSP00000264071	0.0017569200629934563
9606.ENSP00000470609	0.0017511258589577958
9606.ENSP00000341289	0.0017457329827043322
9606.ENSP00000301071	0.0017417863402270123
9606.ENSP00000176183	0.001734066310519361
9606.ENSP00000373169	0.0017302316500445378
9606.ENSP00000358511	0.0017269816118548483
9606.ENSP00000316244	0.0017254423451213995
9606.ENSP00000270349	0.0016982890842703964
9606.ENSP00000407546	0.0016810828118193149
9606.ENSP00000357461	0.0016810344750090506
9606.ENSP00000324270	0.0016730169715844208
9606.ENSP00000359285	0.0016711182075000606
9606.ENSP00000305416	0.001669895728295534
9606.ENSP00000466933	0.001667016873471191
9606.ENSP00000350878	0.0016650359386875388
9606.ENSP00000386069	0.0016518498558157789
9606.ENSP00000280155	0.0016487707064622794
9606.ENSP00000328472	0.0016427329732872122
9606.ENSP00000246115	0.0016419383467564169
9606.ENSP00000378492	0.0016266875270776666
9606.ENSP00000219833	0.0016265170326249024
9606.ENSP00000355316	0.0016249866441935944
9606.ENSP00000234961	0.0016242344322782748
9606.ENSP00000259455	0.0016229323047293488
9606.ENSP00000342560	0.0016202357526507545
9606.ENSP00000265572	0.001617292908461084
9606.ENSP00000217133	0.0015506314805422013
9606.ENSP00000259818	0.001549283571414455
9606.ENSP00000369703	0.0015476078755867718
9606.ENSP00000318697	0.0015459966841372555
9606.ENSP00000354499	0.0015286501615019738
9606.ENSP00000354982	0.0015264615111697246
9606.ENSP00000353362	0.0015264533338790812
9606.ENSP00000301072	0.0015217160036949328
9606.ENSP00000386306	0.0015016444965473825
9606.ENSP00000353791	0.0014999219723776424
9606.ENSP00000229379	0.001495767925242564
9606.ENSP00000336799	0.0014681131258289985
9606.ENSP00000297564	0.0014612892205161686
9606.ENSP00000317780	0.0014609389360427493
9606.ENSP00000234301	0.0014435186356806552
9606.ENSP00000247655	0.001442674159248986
9606.ENSP00000258424	0.0014404360250111416
9606.ENSP00000246554	0.0014392604472854037
9606.ENSP00000253452	0.001437013587920948
9606.ENSP00000283254	0.0014334317816594605
9606.ENSP00000321260	0.0014276450366226693
9606.ENSP00000367959	0.0014268256646046474
9606.ENSP00000303540	0.0014133154553795813
9606.ENSP00000258400	0.0013906901912579652
9606.ENSP00000296597	0.0013728274129128607
9606.ENSP00000303325	0.0013578916046011519
9606.ENSP00000287820	0.001350365795759969
9606.ENSP00000303211	0.0013486016949716209
9606.ENSP00000318197	0.0013412683144686664
9606.ENSP00000382982	0.0013051687673120253
9606.ENSP00000327652	0.0012965523335516053
9606.ENSP00000364649	0.0012932452654373212
9606.ENSP00000306129	0.0012883101552324204
9606.ENSP00000264932	0.0012866351557852171
9606.ENSP00000366506	0.0012847347465548917
9606.ENSP00000347689	0.001282898427234859
9606.ENSP00000426638	0.0012804965664303793
9606.ENSP00000345502	0.0012798878185220307
9606.ENSP00000289753	0.0012791211743879462
9606.ENSP00000419692	0.0012666955655468721
9606.ENSP00000358272	0.0012646587420708628
