9606.ENSP00000319690	9606.ENSP00000344818	982
9606.ENSP00000249647	9606.ENSP00000320935	980
9606.ENSP00000238994	9606.ENSP00000369689	800
9606.ENSP00000242317	9606.ENSP00000308312	959
9606.ENSP00000286355	9606.ENSP00000373169	900
9606.ENSP00000265171	9606.ENSP00000298316	900
9606.ENSP00000225426	9606.ENSP00000298852	999
9606.ENSP00000318956	9606.ENSP00000318997	900
9606.ENSP00000344818	9606.ENSP00000358022	999
9606.ENSP00000280155	9606.ENSP00000466933	900
9606.ENSP00000340944	9606.ENSP00000369553	900
9606.ENSP00000344818	9606.ENSP00000410818	721
9606.ENSP00000270202	9606.ENSP00000368664	736
9606.ENSP00000333724	9606.ENSP00000353537	900
9606.ENSP00000268712	9606.ENSP00000357907	900
9606.ENSP00000294785	9606.ENSP00000468389	931
9606.ENSP00000356033	9606.ENSP00000369538	900
9606.ENSP00000286548	9606.ENSP00000316054	813
9606.ENSP00000229390	9606.ENSP00000310668	900
9606.ENSP00000322801	9606.ENSP00000326718	900
9606.ENSP00000013034	9606.ENSP00000254235	904
9606.ENSP00000304350	9606.ENSP00000325376	975
9606.ENSP00000307288	9606.ENSP00000312995	954
9606.ENSP00000263431	9606.ENSP00000281537	824
9606.ENSP00000321259	9606.ENSP00000384774	859
9606.ENSP00000309591	9606.ENSP00000337736	943
9606.ENSP00000344456	9606.ENSP00000344818	999
9606.ENSP00000300773	9606.ENSP00000399078	900
9606.ENSP00000200181	9606.ENSP00000222573	761
9606.ENSP00000228872	9606.ENSP00000363019	907
9606.ENSP00000253055	9606.ENSP00000314458	808
9606.ENSP00000351706	9606.ENSP00000380184	916
9606.ENSP00000319197	9606.ENSP00000353343	900
9606.ENSP00000176183	9606.ENSP00000306884	900
9606.ENSP00000296641	9606.ENSP00000362401	900
9606.ENSP00000319217	9606.ENSP00000444054	900
9606.ENSP00000265354	9606.ENSP00000334458	994
9606.ENSP00000279791	9606.ENSP00000301532	900
9606.ENSP00000322175	9606.ENSP00000356785	912
9606.ENSP00000344818	9606.ENSP00000384823	733
9606.ENSP00000265071	9606.ENSP00000289746	908
9606.ENSP00000326031	9606.ENSP00000418081	800
9606.ENSP00000355046	9606.ENSP00000355206	999
9606.ENSP00000285968	9606.ENSP00000355465	879
9606.ENSP00000005284	9606.ENSP00000309052	727
9606.ENSP00000335535	9606.ENSP00000344040	900
9606.ENSP00000258648	9606.ENSP00000363804	900
9606.ENSP00000344468	9606.ENSP00000359583	900
9606.ENSP00000281453	9606.ENSP00000362592	934
9606.ENSP00000270625	9606.ENSP00000435096	999
9606.ENSP00000264818	9606.ENSP00000319169	877
9606.ENSP00000302160	9606.ENSP00000469468	999
9606.ENSP00000334721	9606.ENSP00000345563	900
9606.ENSP00000356430	9606.ENSP00000362795	901
9606.ENSP00000307713	9606.ENSP00000375893	900
9606.ENSP00000248846	9606.ENSP00000371308	922
9606.ENSP00000343062	9606.ENSP00000352717	900
9606.ENSP00000248384	9606.ENSP00000305011	900
9606.ENSP00000320302	9606.ENSP00000352604	900
9606.ENSP00000333685	9606.ENSP00000361014	963
9606.ENSP00000305372	9606.ENSP00000310305	905
9606.ENSP00000318956	9606.ENSP00000322754	900
9606.ENSP00000322524	9606.ENSP00000433415	900
9606.ENSP00000325146	9606.ENSP00000361290	905
9606.ENSP00000298642	9606.ENSP00000369157	900
9606.ENSP00000327246	9606.ENSP00000369647	910
9606.ENSP00000305790	9606.ENSP00000377892	938
9606.ENSP00000249071	9606.ENSP00000295797	913
9606.ENSP00000240139	9606.ENSP00000379098	917
9606.ENSP00000264634	9606.ENSP00000358698	904
9606.ENSP00000353988	9606.ENSP00000369729	900
9606.ENSP00000266718	9606.ENSP00000417281	800
9606.ENSP00000263710	9606.ENSP00000317902	900
9606.ENSP00000001146	9606.ENSP00000337450	929
9606.ENSP00000352918	9606.ENSP00000380427	996
9606.ENSP00000329991	9606.ENSP00000369293	800
9606.ENSP00000346050	9606.ENSP00000360671	841
9606.ENSP00000350937	9606.ENSP00000376652	867
9606.ENSP00000256010	9606.ENSP00000359532	998
9606.ENSP00000244020	9606.ENSP00000366829	717
9606.ENSP00000247879	9606.ENSP00000249284	918
9606.ENSP00000332816	9606.ENSP00000337825	968
9606.ENSP00000223321	9606.ENSP00000386212	951
9606.ENSP00000264883	9606.ENSP00000377892	900
9606.ENSP00000333433	9606.ENSP00000357555	900
9606.ENSP00000386209	9606.ENSP00000435416	900
9606.ENSP00000242152	9606.ENSP00000295683	900
9606.ENSP00000300651	9606.ENSP00000322909	914
9606.ENSP00000258301	9606.ENSP00000356918	997
9606.ENSP00000265038	9606.ENSP00000272645	900
9606.ENSP00000324534	9606.ENSP00000350222	900
9606.ENSP00000261245	9606.ENSP00000339495	912
9606.ENSP00000296255	9606.ENSP00000345156	900
9606.ENSP00000307766	9606.ENSP00000386884	901
9606.ENSP00000222247	9606.ENSP00000359024	880
9606.ENSP00000314324	9606.ENSP00000444054	900
9606.ENSP00000326259	9606.ENSP00000412752	900
9606.ENSP00000216455	9606.ENSP00000257934	900
9606.ENSP00000005340	9606.ENSP00000292644	900
9606.ENSP00000319654	9606.ENSP00000325682	900
9606.ENSP00000270586	9606.ENSP00000339109	900
9606.ENSP00000283249	9606.ENSP00000357362	818
9606.ENSP00000244051	9606.ENSP00000412922	998
9606.ENSP00000307713	9606.ENSP00000315011	905
9606.ENSP00000345563	9606.ENSP00000353343	900
9606.ENSP00000378295	9606.ENSP00000458021	903
9606.ENSP00000290015	9606.ENSP00000293549	939
9606.ENSP00000303686	9606.ENSP00000306138	902
9606.ENSP00000256906	9606.ENSP00000359643	900
9606.ENSP00000314324	9606.ENSP00000349719	900
9606.ENSP00000353741	9606.ENSP00000357555	909
9606.ENSP00000296684	9606.ENSP00000309565	928
9606.ENSP00000240139	9606.ENSP00000288139	809
9606.ENSP00000342697	9606.ENSP00000349945	900
